author_name
Mnacho Echenim
Hongfu Liu
Seungjin Choi
Omer Lev
Robert D. Nowak
Guillaume Escamocher
Janez Demsar
Siqi Chen
Karina Valdivia Delgado
Tao Zhang
Sheila A. McIlraith
Nizar Bouguila
Carles Sierra
Ashish Sabharwal
Brahim Chaib-draa
Zhongzhi Shi
Arpita Ghosh
Limor Ikar
Ting Chen
Carsten Lutz
Dana Porter
Joseph Y. Halpern
Wei Wei
Ehud Aharoni
Jiarui Gan
Rui Yan
João Marques-Silva
Emma Rollon
Ambuj Tewari
Bart Selman
Haris Aziz
Tobias Lang
Jaedeug Choi
Marek Grzes
Sean Luke
Ke Tao
Zhengzhang Chen
Xiaofei He
Weiru Liu
Yifan Pi
Johannes Bauer
Nan Duan
Guandong Xu
Arunesh Sinha
Daniel Sheldon
Marco Gavanelli
Stephen William Gilroy
Bob Huisman
Jian-Sheng Wu
Elizabeth Black
Han Yu
Peter Jonsson
Stefan Reiterer
Mark Crowley
Alok N. Choudhary
Martin Müller
Pang Jin Tan
Lan Yu
Fabian Abel
Ugur Kuter
Xingyuan Peng
Michel Leclère
Tyler Lu
Pieter W. M. Koopman
Sam Buss
Nicu Sebe
Fabian M. Suchanek
Arthur Carvalho
Kang Liu
Alice Oh
Peter Nightingale
Xiaojun Wan
Alan Hanjalic
Maria Chli
Valmi Dufour-Lussier
Miao Liu
Yi Li
Matthew David Luciw
Majid Yazdani
David Matheson
Marwan Torki
Susana Fernández
Kentaro Ishii
Siegfried Nijssen
Magdalena Ortiz
Piotr Faliszewski
Laura Bozzelli
Leliane Nunes de Barros
Iulia Nica
Michal Pechoucek
Michel Wilson
Wolfram Burgard
Xiaofeng Meng
Fei Wu
Michael Bartholomew
Martin Mozina
Peter J. F. Lucas
Hongfei Li
Yair Zick
Rahul Parundekar
Dan Bohus
Gregory Hitz
Jiming Liu
Jochen Renz
Giovanni Da San Martino
Pablo Noriega
Alessandro Farinelli
Michael Bowling
Bill Squires
Jian Cao
Éric Grégoire
Paolo Felli
Nagiza F. Samatova
Eduardo Candido Xavier
Thomas Leo McCluskey
Eyal Dechter
Ji Li
Zhongqing Wang
Claudia V. Goldman
Tracy Anne Hammond
Dayou Liu
Wiebe van der Hoek
Michael R. Lyu
Xiangyang Xue
Shoushan Li
Kian Hsiang Low
Xueqiang Lv
Ingo Pill
Mauro Vallati
Alexandre Niveau
Jianye Hao
Daniele Porello
Ece Kamar
Kostas Stathis
Sebastian Stein
Yoad Lewenberg
Tri-Dung Nguyen
Richard Bernstein
Arjun Mukherjee
D. Chris Rayner
Alex Rogers
Philippe Giguère
Elizabeth A. Jensen
Haiqin Yang
Christopher Archibald
Andreas Pieris
Rafael E. Banchs
Eyke Hüllermeier
William Yeoh
Thomas Bolander
Joel Veness
Saleha Raza
Laurent Gourvès
Yi Zhang
Siu Cheung Hui
Cheng Jin
Arthur Choi
Stefan Rümmele
Minh Luan Nguyen
Lei Hou
Ethan L. Schreiber
Mingyi Zhang
Guoqiang Zhong
Ke Zhou
Talma Hendler
Barry O'Sullivan
Ken-ichi Kawarabayashi
Anni-Yasmin Turhan
Benjamin Kaufmann
Marcelo Arenas
Robert Bredereck
Francesco Belardinelli
Xiang Wang
Célia da Costa Pereira
Zhaohui Wu
Jingrui He
En-Liang Hu
Martin Trnecka
Fred Charles
Mark d'Inverno
Terry Howell
Shih-Fen Cheng
Danushka Bollegala
Boaz Lerner
Joohyung Lee
Quan Yu
Mohamed Siala
Rafael C. Carrasco
Mauro Zucchelli
Maria L. Gini
Raquel Fuentetaja
Nicholas R. Jennings
Iadine Chades
Rongrong Ji
Rick Lawrence
Birgit Endrass
Federico Heras
Jingyi Zhang
Hao Yang
Jean-François Condotta
Michael Morak
Hisashi Kashima
Tias Guns
Guodong Zhou
Miguel A. Martínez-Prieto
Christian J. Muise
Hui Fang
Thomas Kalinowski
Remi Coletta
Zahra Zamani
Hoong Chuin Lau
Arkadii M. Slinko
Yuval Filmus
Wei Chen
Felipe Sánchez-Martínez
Randall Davis
Thomas H. Marek
Claude Pasquier
Ben Zion Vatashsky
Lucas Agussurja
Yu Wang
Robert Döbbelin
Joanna Drummond
Xindong Wu
Di He
Guojun Lu
Bingsheng Wang
Tiziano Flati
Kuniaki Uehara
Salem Benferhat
Elena Papageorgiou
Christos Dimitrakakis
Freddy Lécué
Zhiping Gu
Yale Song
Fernando Ordóñez
Abder Rezak Benaskeur
Meinolf Sellmann
Caroline Becker
Michael Luck
Junchi Yan
Dirk Pattinson
Ekhlas Sonu
Martin C. Cooper
Siddharth Suri
Jia Yuan Yu
Karsten M. Borgwardt
Jun Zhao
Jonathan Malmaud
Gang Hua
Matthew J. Rutherford
Niya Chen
Daniel Gray Goldstein
Masrour Zoghi
Reda Alhajj
Bin Xu
Yoshihiko Nakamura
Inanç Seylan
Mohamed E. Hussein
Ricardo Ribeiro
Xiao Chen
Jerry E. Moorhead
Blai Bonet
Duc Nghia Pham
Carlos Linares López
Yu Lei
Xingxing Wei
Enhong Chen
Alexandre Drouin
Shusen Wang
Luís Moniz Pereira
Christoph Sawade
Norman E. Fenton
Zhi Qiang Zhuang
Paul Piula Taele
Pierre Marquis
Chen Cheng
Madalina Croitoru
Mostepha Redouane Khouadjia
Jürgen Sturm
Ayelet Or-Borichov
Michael D. Moffitt
Julien Lesca
Talal Rahwan
Jie Zhang
Dimitri Ognibene
Yuko Sakurai
Ilana Klovatch
Geoffrey J. Gordon
Motaz El-Saban
Hiroshi Sato
Qiang Ji
Yue Lin
David C. Parkes
Siwei Lyu
Fei Xia
Muyun Yang
Richard Dearden
Argyrios Deligkas
Hong Chang
Mohamed Cheriet
Noam Hazon
Maddalena Nonato
Kevin J. Lang
Branislav Bosanský
Marc Lanctot
Jiehua Chen
Piotr Krzysztof Skowron
Yehuda Koren
Vincent Vidal
Eisa Alanazi
Zhong She
Joseph Sill
Jianping Fan
Christer Bäckström
Jennifer Elisabeth Buehler
Peilin Zhao
Yuan Jiang
Una Benlic
Shijian Li
Denver Dash
Isabelle Alvarez
Craig A. Knoblock
Xiaojin Zhu
Andreas Schutt
Meir Kalech
Akshat Kumar
Mihajlo Grbovic
Biao Xiang
Tom Claassen
Meng Wang
Hongyuan Zha
Yanchao Zhang
Mitsuru Kusumoto
Ehud Sharlin
Jesse Hoey
Pierre Savéant
Liang Hu
Claude-Guy Quimper
François Laviolette
Hong Sun
Dawei Song
Pascal Van Hentenryck
Jiongkun Xie
Dongdai Lin
Alessandro Antonucci
Vikas Shivashankar
Guillaume Aucher
Wei Gao
Tieran Zheng
David Martins de Matos
Yang Yu
