author_name,Gender,Gender Probability
Jianhuang Lai,male,1.0
Hongshen Chen,male,0.92
Alessio Lomuscio,male,0.99
Manuel Mauro,male,1.0
Yufeng Li,male,0.73
Anan Liu,male,0.64
Zheng Wang,male,1.0
Patric Jensfelt,male,0.96
Chang Xu,male,0.91
Maximilian Fickert,male,1.0
Ryan Hayward,male,0.99
Alejandro Moreo Fernández,male,1.0
Vincenzo Auletta,male,1.0
Jing Jiang,male,1.0
Karina Vold,female,0.99
Paola Velardi,female,0.99
Marcus Hutter,male,1.0
Zaïd Harchaoui,male,0.96
Xiao Zhang,male,0.67
Benjamin C. M. Fung,male,1.0
Labinot Bajraktari,male,0.98
Chuxu Zhang,male,1.0
Christopher Kiekintveld,male,1.0
Sheng-Jun Huang,male,1.0
Tomasz Was,male,1.0
Yun Wang,female,0.62
Weiwei Wu,female,0.7
Owen Rouillé,male,0.99
Lujun Zhao,male,0.8
Zhenjie Zhang,male,0.85
Shromona Ghosh,female,1.0
Kwok-Yan Lam,unknown,0.0
Yongxing He,male,0.88
Stratis Limnios,male,0.99
Angélica González Arrieta,female,0.99
Zejian Li,male,0.92
Augusto B. Corrêa,male,0.7
Frank Wolter,male,1.0
Zili Zhang,male,0.56
Giuseppe Perelli,male,0.99
Giorgio Lucarelli,male,0.99
Joyce Y. Chai,female,0.99
Bo Du,male,0.77
Dongcheng Zhao,male,0.91
Lanbo She,male,0.77
Chun Yuan,male,0.76
Alan F. T. Winfield,male,1.0
Wanqi Yang,female,0.89
Yijia Chen,female,0.76
Karel Horák,male,0.96
Lu Zhang,female,1.0
Tuan-Anh Nguyen Pham,male,1.0
Bob Zhang,male,0.99
Tiago Vaquero,male,1.0
Steven Skiena,male,1.0
Tobias Schnabel,male,1.0
Tianbao Yang,male,0.89
Xu Tan,male,0.61
Cristian Molinaro,male,0.99
Stefano Faralli,male,1.0
Shaolei Wang,male,0.92
Roberto Posenato,male,1.0
Stan Z. Li,male,0.98
Wei Zhao,male,0.67
Derek R. Magee,male,1.0
Birte Glimm,female,0.98
Dandan Li,female,0.58
Xiang Zhang,male,0.9
Weiwei Liu,female,0.7
Weiran Shen,female,0.58
Zhongbao Zhang,male,0.91
Weiming Li,male,0.94
Nisheeth K. Vishnoi,male,0.88
Luc De Raedt,male,0.99
Aytunc Sahin,male,0.97
Omar El Farouk Bourahla,male,0.98
Yuanyu Wan,female,0.55
Bin Wang,male,0.95
Quan-Sen Sun,female,0.51
Marius Lindauer,male,0.99
Yi He,male,0.75
Ziru Xu,female,0.62
Yuchao Sun,male,0.86
Boyan Xu,male,0.99
Zhen Cui,male,0.85
Guangcan Liu,male,1.0
Odile Papini,female,0.99
Zhongzhi Zhang,male,1.0
Sen Su,female,0.75
William Vega-Brown,male,1.0
Yuxiang Zhang,male,0.83
Ming Zhou,male,0.67
Suhua Wei,female,0.89
Frank Hutter,male,1.0
John C. S. Lui,male,1.0
Glenn Wagner,male,1.0
Hiroyuki Toda,male,1.0
Hanmo Wang,male,0.87
Torsten Schaub,male,1.0
Fei Fang,female,1.0
Cheng-Lun Peng,male,1.0
Bing Qin,male,1.0
