author_name
Anthony G. Cohn
Tim Niemueller
Bernhard Pfahringer
Subhrajit Bhattacharya
Lluís A. Belanche Muñoz
Ron Alford
Dominik Seuss
Ricardo B. C. Prudêncio
Irina Gribanova
Stefano Paladino
Steven Schockaert
Peter J. Jansen
Tianxing Wu
Régis Sabbadin
Charlotte Gerritsen
Lionel Ott
Gal A. Kaminka
Haibin Chen
Sebastian Sardiña
Rolf Niedermeier
Bas Testerink
Tie-Yan Liu
Lisa Rey
Elena Cabrio
Sebastian Ordyniak
Gregory M. Provan
Rahul Savani
Akin Günay
Nathan Ramoly
Sébastien Konieczny
Marcello D'Agostino
Sofie De Clercq
Pierre Régnier
Sebastian Rudolph
Mitja Lustrek
Nuno Cardoso
Roi Yehoshua
Adrian R. Pearce
Sergio Luengo-Sanchez
Thomas Caridroit
Ludovic Noirie
Ronald de Haan
Mark Tennant
Jiangtao Xu
Hendrik Blockeel
Radhika Arava
H. Jaap van den Herik
Frédéric Maris
Tao Qin
Sarit Kraus
Wojciech Jamroga
Lina Ye
