author_name
Satinder Singh
Ron Bekkerman
Enrico H. Gerding
Ah-Hwee Tan
Jérémie Vautard
Dit-Yan Yeung
Ulle Endriss
David Page
Eyal Even-Dar
Francisco Azuaje
Ola Rozenfeld
Jorge A. Baier
Mingrui Wu
Marco Aiello
Yoav Shoham
Akira Shimazu
Pradeep Natarajan
Lida Li
Tuomas Sandholm
David Wingate
Thierry Petit
Hwee Tou Ng
Emmett Witchel
Wen-tau Yih
Leandro Chaves Rêgo
Naoaki Okazaki
Stéphane Airiau
Jesse Davis
Kazuki Yoshizoe
Rupert Brooks
Jianguo Li
Nina Narodytska
Rong Zhou
Neil D. Lawrence
Yi Zhou
Kristen Brent Venable
Kazuo Miyashita
Ron Katz
Wesley Loh
Russell Bent
Xindong Wu
Brian Ferris
Dennis McLeod
Amos J. Storkey
Michael Mateas
Srinivasan Umesh
Mainak Nath
Harry Wechsler
Domenico Lembo
Pablo Samuel Castro
Michèle Sebag
Sylvain Lamprier
Parris K. Egbert
Dana F. Wilkinson
Salem Benferhat
Pak-Ming Cheung
Rina Dechter
Thad Starner
Sung Wook Yoon
Jurgen Van Gael
Shimei Pan
Xiaoxun Sun
Kwok Yip Szeto
Frank Dellaert
Regina Barzilay
Gianguglielmo Calvi
Sandrine Lafrogne
Ariel D. Procaccia
Efrat Manisterski
Michael J. Cafarella
Isabelle Bloch
Mitsuru Ishizuka
Amit Kumar Pandey
Francesca Rossi
Samir Chopra
Sargur N. Srihari
Thomas Eiter
Raul Kompass
Radu Stefan Niculescu
Bertrand Neveu
Timothy J. Norman
Debasish Ghose
Tuan Anh Nguyen
Thierry Vidal
Osamu Furuse
Attilio Giordana
Brammert Ottens
Fernando Diaz
Mikhail Soutchanski
Ildikó Flesch
Hideyuki Nakanishi
Yichuan Jiang
Kôiti Hasida
Nobuaki Hiroshima
Feiping Nie
Martin C. Cooper
Rahul Malik
Adi Botea
Nir Oren
Arun K. Pujari
Dan Ventura
Nicolas Maudet
Tom M. Mitchell
John K. Debenham
Chunyan Miao
Niels Landwehr
Jun Zhao
Bulusu Lakshmana Deekshatulu
Scott Shannon
Ashish Kapoor
Mark Chavira
Ruoyun Huang
Marc G. Bellemare
Daniele Nardi
Judy Goldsmith
Pallika H. Kanani
Carla P. Gomes
Canh Hao Nguyen
Emmanuel Hebrard
Riccardo Rosati
William J. Kaiser
Felix von Hundelshausen
Martha E. Pollack
Emmanuel Tanguy
Patrik Haslum
Brenda Ng
Fadi Badra
Bernhard Nebel
Kenneth D. Forbus
Sukwon Chung
José Ramón Quevedo
V. S. Subrahmanian
Jiawei Han
Ken Satoh
Nikesh Garera
Paolo Ciancarini
Alex Graves
S. S. Ravi
Bertrand Mazure
Benjamin Van Durme
Mark Hoogendoorn
Rahman Mukras
Reda Alhajj
Liviu Badea
Marco Gori
Guy W. Mineau
Jesús Cerquides
Miki Hermann
Ingrid Zukerman
Doina Tilivea
Malcolm Ryan
M. G. Suraj
Hitoshi Isahara
